"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
"483","No","Lower","male",50,0,0,8.05,"Southampton"
"484","Si","Lower","female",63,0,0,9.5875,"Southampton"
"485","Si","Upper","male",25,1,0,91.0792,"Cherbourg"
"486","No","Lower","female",6,3,1,25.4667,"Southampton"
"487","Si","Upper","female",35,1,0,90,"Southampton"
"488","No","Upper","male",58,0,0,29.7,"Cherbourg"
"489","No","Lower","male",30,0,0,8.05,"Southampton"
"490","Si","Lower","male",9,1,1,15.9,"Southampton"
"491","No","Lower","male",30,1,0,19.9667,"Southampton"
"492","No","Lower","male",21,0,0,7.25,"Southampton"
"493","No","Upper","male",55,0,0,30.5,"Southampton"
"494","No","Upper","male",71,0,0,49.5042,"Cherbourg"
"495","No","Lower","male",21,0,0,8.05,"Southampton"
"496","No","Lower","male",27,0,0,14.4583,"Cherbourg"
"497","Si","Upper","female",54,1,0,78.2667,"Cherbourg"
"498","No","Lower","male",40.5,0,0,15.1,"Southampton"
"499","No","Upper","female",25,1,2,151.55,"Southampton"
"500","No","Lower","male",24,0,0,7.7958,"Southampton"
"501","No","Lower","male",17,0,0,8.6625,"Southampton"
"502","No","Lower","female",21,0,0,7.75,"Queenstown"
"503","No","Lower","female",25,0,0,7.6292,"Queenstown"
"504","No","Lower","female",37,0,0,9.5875,"Southampton"
"505","Si","Upper","female",16,0,0,86.5,"Southampton"
"506","No","Upper","male",18,1,0,108.9,"Cherbourg"
"507","Si","Middle","female",33,0,2,26,"Southampton"
"508","Si","Upper","male",45,0,0,26.55,"Southampton"
"509","No","Lower","male",28,0,0,22.525,"Southampton"
"510","Si","Lower","male",26,0,0,56.4958,"Southampton"
"511","Si","Lower","male",29,0,0,7.75,"Queenstown"
"512","No","Lower","male",24,0,0,8.05,"Southampton"
"513","Si","Upper","male",36,0,0,26.2875,"Southampton"
"514","Si","Upper","female",54,1,0,59.4,"Cherbourg"
"515","No","Lower","male",24,0,0,7.4958,"Southampton"
"516","No","Upper","male",47,0,0,34.0208,"Southampton"
"517","Si","Middle","female",34,0,0,10.5,"Southampton"
"518","No","Lower","male",32,0,0,24.15,"Queenstown"
"519","Si","Middle","female",36,1,0,26,"Southampton"
"520","No","Lower","male",32,0,0,7.8958,"Southampton"
"521","Si","Upper","female",30,0,0,93.5,"Southampton"
"522","No","Lower","male",22,0,0,7.8958,"Southampton"
"523","No","Lower","male",30,0,0,7.225,"Cherbourg"
"524","Si","Upper","female",44,0,1,57.9792,"Cherbourg"
"525","No","Lower","male",23.5,0,0,7.2292,"Cherbourg"
"526","No","Lower","male",40.5,0,0,7.75,"Queenstown"
"527","Si","Middle","female",50,0,0,10.5,"Southampton"
"528","No","Upper","male",29,0,0,221.7792,"Southampton"
"529","No","Lower","male",39,0,0,7.925,"Southampton"
"530","No","Middle","male",23,2,1,11.5,"Southampton"
"531","Si","Middle","female",2,1,1,26,"Southampton"
"532","No","Lower","male",23.5,0,0,7.2292,"Cherbourg"
"533","No","Lower","male",17,1,1,7.2292,"Cherbourg"
"534","Si","Lower","female",9,0,2,22.3583,"Cherbourg"
"535","No","Lower","female",30,0,0,8.6625,"Southampton"
"536","Si","Middle","female",7,0,2,26.25,"Southampton"
"537","No","Upper","male",45,0,0,26.55,"Southampton"
"538","Si","Upper","female",30,0,0,106.425,"Cherbourg"
"539","No","Lower","male",27,0,0,14.5,"Southampton"
"540","Si","Upper","female",22,0,2,49.5,"Cherbourg"
"541","Si","Upper","female",36,0,2,71,"Southampton"
"542","No","Lower","female",9,4,2,31.275,"Southampton"
"543","No","Lower","female",11,4,2,31.275,"Southampton"
"544","Si","Middle","male",32,1,0,26,"Southampton"
"545","No","Upper","male",50,1,0,106.425,"Cherbourg"
"546","No","Upper","male",64,0,0,26,"Southampton"
"547","Si","Middle","female",19,1,0,26,"Southampton"
"548","Si","Middle","male",26,0,0,13.8625,"Cherbourg"
"549","No","Lower","male",33,1,1,20.525,"Southampton"
"550","Si","Middle","male",8,1,1,36.75,"Southampton"
"551","Si","Upper","male",17,0,2,110.8833,"Cherbourg"
"552","No","Middle","male",27,0,0,26,"Southampton"
"553","No","Lower","male",21,0,0,7.8292,"Queenstown"
"554","Si","Lower","male",22,0,0,7.225,"Cherbourg"
"555","Si","Lower","female",22,0,0,7.775,"Southampton"
"556","No","Upper","male",62,0,0,26.55,"Southampton"
"557","Si","Upper","female",48,1,0,39.6,"Cherbourg"
"558","No","Upper","male",38,0,0,227.525,"Cherbourg"
"559","Si","Upper","female",39,1,1,79.65,"Southampton"
"560","Si","Lower","female",36,1,0,17.4,"Southampton"
"561","No","Lower","male",51,0,0,7.75,"Queenstown"
"562","No","Lower","male",40,0,0,7.8958,"Southampton"
"563","No","Middle","male",28,0,0,13.5,"Southampton"
"564","No","Lower","male",24,0,0,8.05,"Southampton"
"565","No","Lower","female",24,0,0,8.05,"Southampton"
"566","No","Lower","male",24,2,0,24.15,"Southampton"
"567","No","Lower","male",19,0,0,7.8958,"Southampton"
"568","No","Lower","female",29,0,4,21.075,"Southampton"
"569","No","Lower","male",23.5,0,0,7.2292,"Cherbourg"
"570","Si","Lower","male",32,0,0,7.8542,"Southampton"
"571","Si","Middle","male",62,0,0,10.5,"Southampton"
"572","Si","Upper","female",53,2,0,51.4792,"Southampton"
"573","Si","Upper","male",36,0,0,26.3875,"Southampton"
"574","Si","Lower","female",22,0,0,7.75,"Queenstown"
"575","No","Lower","male",16,0,0,8.05,"Southampton"
"576","No","Lower","male",19,0,0,14.5,"Southampton"
"577","Si","Middle","female",34,0,0,13,"Southampton"
"578","Si","Upper","female",39,1,0,55.9,"Southampton"
"579","No","Lower","female",26,1,0,14.4583,"Cherbourg"
"580","Si","Lower","male",32,0,0,7.925,"Southampton"
"581","Si","Middle","female",25,1,1,30,"Southampton"
"582","Si","Upper","female",39,1,1,110.8833,"Cherbourg"
"583","No","Middle","male",54,0,0,26,"Southampton"
"584","No","Upper","male",36,0,0,40.125,"Cherbourg"
"585","No","Lower","male",33,0,0,8.7125,"Cherbourg"
"586","Si","Upper","female",18,0,2,79.65,"Southampton"
"587","No","Middle","male",47,0,0,15,"Southampton"
"588","Si","Upper","male",60,1,1,79.2,"Cherbourg"
"589","No","Lower","male",22,0,0,8.05,"Southampton"
"590","No","Lower","male",24,0,0,8.05,"Southampton"
"591","No","Lower","male",35,0,0,7.125,"Southampton"
"592","Si","Upper","female",52,1,0,78.2667,"Cherbourg"
"593","No","Lower","male",47,0,0,7.25,"Southampton"
"594","No","Lower","female",39,0,2,7.75,"Queenstown"
"595","No","Middle","male",37,1,0,26,"Southampton"
"596","No","Lower","male",36,1,1,24.15,"Southampton"
"597","Si","Middle","female",36,0,0,33,"Southampton"
"598","No","Lower","male",49,0,0,26,"Southampton"
"599","No","Lower","male",30,0,0,7.225,"Cherbourg"
"600","Si","Upper","male",49,1,0,56.9292,"Cherbourg"
"601","Si","Middle","female",24,2,1,27,"Southampton"
"602","No","Lower","male",33,0,0,7.8958,"Southampton"
"603","No","Upper","male",42,0,0,42.4,"Southampton"
"604","No","Lower","male",44,0,0,8.05,"Southampton"
"605","Si","Upper","male",35,0,0,26.55,"Cherbourg"
"606","No","Lower","male",36,1,0,15.55,"Southampton"
"607","No","Lower","male",30,0,0,7.8958,"Southampton"
"608","Si","Upper","male",27,0,0,30.5,"Southampton"
"609","Si","Middle","female",22,1,2,41.5792,"Cherbourg"
"610","Si","Upper","female",40,0,0,153.4625,"Southampton"
"611","No","Lower","female",39,1,5,31.275,"Southampton"
"612","No","Lower","male",25,0,0,7.05,"Southampton"
"613","Si","Lower","female",24,1,0,15.5,"Queenstown"
"614","No","Lower","male",51,0,0,7.75,"Queenstown"
"615","No","Lower","male",35,0,0,8.05,"Southampton"
"616","Si","Middle","female",24,1,2,65,"Southampton"
"617","No","Lower","male",34,1,1,14.4,"Southampton"
"618","No","Lower","female",26,1,0,16.1,"Southampton"
"619","Si","Middle","female",4,2,1,39,"Southampton"
"620","No","Middle","male",26,0,0,10.5,"Southampton"
"621","No","Lower","male",27,1,0,14.4542,"Cherbourg"
"622","Si","Upper","male",42,1,0,52.5542,"Southampton"
"623","Si","Lower","male",20,1,1,15.7417,"Cherbourg"
"624","No","Lower","male",21,0,0,7.8542,"Southampton"
"625","No","Lower","male",21,0,0,16.1,"Southampton"
"626","No","Upper","male",61,0,0,32.3208,"Southampton"
"627","No","Middle","male",57,0,0,12.35,"Queenstown"
"628","Si","Upper","female",21,0,0,77.9583,"Southampton"
"629","No","Lower","male",26,0,0,7.8958,"Southampton"
"630","No","Lower","male",21,0,0,7.7333,"Queenstown"
"631","Si","Upper","male",80,0,0,30,"Southampton"
"632","No","Lower","male",51,0,0,7.0542,"Southampton"
"633","Si","Upper","male",32,0,0,30.5,"Cherbourg"
"634","No","Upper","male",39,0,0,13,"Southampton"
"635","No","Lower","female",9,3,2,27.9,"Southampton"
"636","Si","Middle","female",28,0,0,13,"Southampton"
"637","No","Lower","male",32,0,0,7.925,"Southampton"
"638","No","Middle","male",31,1,1,26.25,"Southampton"
"639","No","Lower","female",41,0,5,39.6875,"Southampton"
"640","No","Lower","male",26,1,0,16.1,"Southampton"
"641","No","Lower","male",20,0,0,7.8542,"Southampton"
"642","Si","Upper","female",24,0,0,69.3,"Cherbourg"
"643","No","Lower","female",2,3,2,27.9,"Southampton"
"644","Si","Lower","male",30,0,0,56.4958,"Southampton"
"645","Si","Lower","female",0.75,2,1,19.2583,"Cherbourg"
"646","Si","Upper","male",48,1,0,76.7292,"Cherbourg"
"647","No","Lower","male",19,0,0,7.8958,"Southampton"
"648","Si","Upper","male",56,0,0,35.5,"Cherbourg"
"649","No","Lower","male",24,0,0,7.55,"Southampton"
"650","Si","Lower","female",23,0,0,7.55,"Southampton"
"651","No","Lower","male",33,0,0,7.8958,"Southampton"
"652","Si","Middle","female",18,0,1,23,"Southampton"
"653","No","Lower","male",21,0,0,8.4333,"Southampton"
"654","Si","Lower","female",26,0,0,7.8292,"Queenstown"
"655","No","Lower","female",18,0,0,6.75,"Queenstown"
"656","No","Middle","male",24,2,0,73.5,"Southampton"
"657","No","Lower","male",33,0,0,7.8958,"Southampton"
"658","No","Lower","female",32,1,1,15.5,"Queenstown"
"659","No","Middle","male",23,0,0,13,"Southampton"
"660","No","Upper","male",58,0,2,113.275,"Cherbourg"
"661","Si","Upper","male",50,2,0,133.65,"Southampton"
"662","No","Lower","male",40,0,0,7.225,"Cherbourg"
"663","No","Upper","male",47,0,0,25.5875,"Southampton"
"664","No","Lower","male",36,0,0,7.4958,"Southampton"
"665","Si","Lower","male",20,1,0,7.925,"Southampton"
"666","No","Middle","male",32,2,0,73.5,"Southampton"
"667","No","Middle","male",25,0,0,13,"Southampton"
"668","No","Lower","male",25,0,0,7.775,"Southampton"
"669","No","Lower","male",43,0,0,8.05,"Southampton"
"670","Si","Upper","female",42,1,0,52,"Southampton"
"671","Si","Middle","female",40,1,1,39,"Southampton"
"672","No","Upper","male",31,1,0,52,"Southampton"
"673","No","Middle","male",70,0,0,10.5,"Southampton"
"674","Si","Middle","male",31,0,0,13,"Southampton"
"675","No","Middle","male",39,0,0,13,"Southampton"
"676","No","Lower","male",18,0,0,7.775,"Southampton"
"677","No","Lower","male",24.5,0,0,8.05,"Southampton"
"678","Si","Lower","female",18,0,0,9.8417,"Southampton"
"679","No","Lower","female",43,1,6,46.9,"Southampton"
"680","Si","Upper","male",36,0,1,512.3292,"Cherbourg"
"681","No","Lower","female",21,0,0,8.1375,"Queenstown"
"682","Si","Upper","male",27,0,0,76.7292,"Cherbourg"
"683","No","Lower","male",20,0,0,9.225,"Southampton"
"684","No","Lower","male",14,5,2,46.9,"Southampton"
"685","No","Middle","male",60,1,1,39,"Southampton"
"686","No","Middle","male",25,1,2,41.5792,"Cherbourg"
"687","No","Lower","male",14,4,1,39.6875,"Southampton"
"688","No","Lower","male",19,0,0,10.1708,"Southampton"
"689","No","Lower","male",18,0,0,7.7958,"Southampton"
"690","Si","Upper","female",15,0,1,211.3375,"Southampton"
"691","Si","Upper","male",31,1,0,57,"Southampton"
"692","Si","Lower","female",4,0,1,13.4167,"Cherbourg"
"693","Si","Lower","male",30,0,0,56.4958,"Southampton"
"694","No","Lower","male",25,0,0,7.225,"Cherbourg"
"695","No","Upper","male",60,0,0,26.55,"Southampton"
"696","No","Middle","male",52,0,0,13.5,"Southampton"
"697","No","Lower","male",44,0,0,8.05,"Southampton"
"698","Si","Lower","female",21,0,0,7.7333,"Queenstown"
"699","No","Upper","male",49,1,1,110.8833,"Cherbourg"
"700","No","Lower","male",42,0,0,7.65,"Southampton"
"701","Si","Upper","female",18,1,0,227.525,"Cherbourg"
"702","Si","Upper","male",35,0,0,26.2875,"Southampton"
"703","No","Lower","female",18,0,1,14.4542,"Cherbourg"
"704","No","Lower","male",25,0,0,7.7417,"Queenstown"
"705","No","Lower","male",26,1,0,7.8542,"Southampton"
"706","No","Middle","male",39,0,0,26,"Southampton"
"707","Si","Middle","female",45,0,0,13.5,"Southampton"
"708","Si","Upper","male",42,0,0,26.2875,"Southampton"
"709","Si","Upper","female",22,0,0,151.55,"Southampton"
"710","Si","Lower","male",9,1,1,15.2458,"Cherbourg"
"711","Si","Upper","female",24,0,0,49.5042,"Cherbourg"
"712","No","Upper","male",62,0,0,26.55,"Southampton"
"713","Si","Upper","male",48,1,0,52,"Southampton"
"714","No","Lower","male",29,0,0,9.4833,"Southampton"
"715","No","Middle","male",52,0,0,13,"Southampton"
"716","No","Lower","male",19,0,0,7.65,"Southampton"
"717","Si","Upper","female",38,0,0,227.525,"Cherbourg"
"718","Si","Middle","female",27,0,0,10.5,"Southampton"
"719","No","Lower","male",40.5,0,0,15.5,"Queenstown"
"720","No","Lower","male",33,0,0,7.775,"Southampton"
"721","Si","Middle","female",6,0,1,33,"Southampton"
"722","No","Lower","male",17,1,0,7.0542,"Southampton"
"723","No","Middle","male",34,0,0,13,"Southampton"
"724","No","Middle","male",50,0,0,13,"Southampton"
"725","Si","Upper","male",27,1,0,53.1,"Southampton"
"726","No","Lower","male",20,0,0,8.6625,"Southampton"
"727","Si","Middle","female",30,3,0,21,"Southampton"
"728","Si","Lower","female",17,0,0,7.7375,"Queenstown"
"729","No","Middle","male",25,1,0,26,"Southampton"
"730","No","Lower","female",25,1,0,7.925,"Southampton"
"731","Si","Upper","female",29,0,0,211.3375,"Southampton"
"732","No","Lower","male",11,0,0,18.7875,"Cherbourg"
"733","No","Middle","male",39,0,0,13,"Southampton"
"734","No","Middle","male",23,0,0,13,"Southampton"
"735","No","Middle","male",23,0,0,13,"Southampton"
"736","No","Lower","male",28.5,0,0,16.1,"Southampton"
"737","No","Lower","female",48,1,3,34.375,"Southampton"
"738","Si","Upper","male",35,0,0,512.3292,"Cherbourg"
"739","No","Lower","male",33,0,0,7.8958,"Southampton"
"740","No","Lower","male",33,0,0,7.8958,"Southampton"
"741","Si","Upper","male",29,0,0,30,"Southampton"
"742","No","Upper","male",36,1,0,78.85,"Southampton"
"743","Si","Upper","female",21,2,2,262.375,"Cherbourg"
"744","No","Lower","male",24,1,0,16.1,"Southampton"
"745","Si","Lower","male",31,0,0,7.925,"Southampton"
"746","No","Upper","male",70,1,1,71,"Southampton"
"747","No","Lower","male",16,1,1,20.25,"Southampton"
"748","Si","Middle","female",30,0,0,13,"Southampton"
"749","No","Upper","male",19,1,0,53.1,"Southampton"
"750","No","Lower","male",31,0,0,7.75,"Queenstown"
"751","Si","Middle","female",4,1,1,23,"Southampton"
"752","Si","Lower","male",6,0,1,12.475,"Southampton"
"753","No","Lower","male",33,0,0,9.5,"Southampton"
"754","No","Lower","male",23,0,0,7.8958,"Southampton"
"755","Si","Middle","female",48,1,2,65,"Southampton"
"756","Si","Middle","male",0.67,1,1,14.5,"Southampton"
"757","No","Lower","male",28,0,0,7.7958,"Southampton"
"758","No","Middle","male",18,0,0,11.5,"Southampton"
"759","No","Lower","male",34,0,0,8.05,"Southampton"
"760","Si","Upper","female",33,0,0,86.5,"Southampton"
"761","No","Lower","male",27,0,0,14.5,"Southampton"
"762","No","Lower","male",41,0,0,7.125,"Southampton"
"763","Si","Lower","male",20,0,0,7.2292,"Cherbourg"
"764","Si","Upper","female",36,1,2,120,"Southampton"
"765","No","Lower","male",16,0,0,7.775,"Southampton"
"766","Si","Upper","female",51,1,0,77.9583,"Southampton"
"767","No","Upper","male",45,0,0,39.6,"Cherbourg"
"768","No","Lower","female",30.5,0,0,7.75,"Queenstown"
"769","No","Lower","male",37,1,0,24.15,"Queenstown"
"770","No","Lower","male",32,0,0,8.3625,"Southampton"
"771","No","Lower","male",24,0,0,9.5,"Southampton"
"772","No","Lower","male",48,0,0,7.8542,"Southampton"
"773","No","Middle","female",57,0,0,10.5,"Southampton"
"774","No","Lower","male",30,0,0,7.225,"Cherbourg"
"775","Si","Middle","female",54,1,3,23,"Southampton"
"776","No","Lower","male",18,0,0,7.75,"Southampton"
"777","No","Lower","male",51,0,0,7.75,"Queenstown"
"778","Si","Lower","female",5,0,0,12.475,"Southampton"
"779","No","Lower","male",31,0,0,7.7375,"Queenstown"
"780","Si","Upper","female",43,0,1,211.3375,"Southampton"
"781","Si","Lower","female",13,0,0,7.2292,"Cherbourg"
"782","Si","Upper","female",17,1,0,57,"Southampton"
"783","No","Upper","male",29,0,0,30,"Southampton"
"784","No","Lower","male",26,1,2,23.45,"Southampton"
"785","No","Lower","male",25,0,0,7.05,"Southampton"
"786","No","Lower","male",25,0,0,7.25,"Southampton"
"787","Si","Lower","female",18,0,0,7.4958,"Southampton"
"788","No","Lower","male",8,4,1,29.125,"Queenstown"
"789","Si","Lower","male",1,1,2,20.575,"Southampton"
"790","No","Upper","male",46,0,0,79.2,"Cherbourg"
"791","No","Lower","male",51,0,0,7.75,"Queenstown"
"792","No","Middle","male",16,0,0,26,"Southampton"
"793","No","Lower","female",11,8,2,69.55,"Southampton"
"794","No","Upper","male",41,0,0,30.6958,"Cherbourg"
"795","No","Lower","male",25,0,0,7.8958,"Southampton"
"796","No","Middle","male",39,0,0,13,"Southampton"
"797","Si","Upper","female",49,0,0,25.9292,"Southampton"
"798","Si","Lower","female",31,0,0,8.6833,"Southampton"
"799","No","Lower","male",30,0,0,7.2292,"Cherbourg"
"800","No","Lower","female",30,1,1,24.15,"Southampton"
"801","No","Middle","male",34,0,0,13,"Southampton"
"802","Si","Middle","female",31,1,1,26.25,"Southampton"
"803","Si","Upper","male",11,1,2,120,"Southampton"
"804","Si","Lower","male",0.42,0,1,8.5167,"Cherbourg"
"805","Si","Lower","male",27,0,0,6.975,"Southampton"
"806","No","Lower","male",31,0,0,7.775,"Southampton"
"807","No","Upper","male",39,0,0,13,"Southampton"
"808","No","Lower","female",18,0,0,7.775,"Southampton"
"809","No","Middle","male",39,0,0,13,"Southampton"
"810","Si","Upper","female",33,1,0,53.1,"Southampton"
"811","No","Lower","male",26,0,0,7.8875,"Southampton"
"812","No","Lower","male",39,0,0,24.15,"Southampton"
"813","No","Middle","male",35,0,0,10.5,"Southampton"
"814","No","Lower","female",6,4,2,31.275,"Southampton"
"815","No","Lower","male",30.5,0,0,8.05,"Southampton"
"816","No","Upper","male",39,0,0,13,"Southampton"
"817","No","Lower","female",23,0,0,7.925,"Southampton"
"818","No","Middle","male",31,1,1,37.0042,"Cherbourg"
"819","No","Lower","male",43,0,0,6.45,"Southampton"
"820","No","Lower","male",10,3,2,27.9,"Southampton"
"821","Si","Upper","female",52,1,1,93.5,"Southampton"
"822","Si","Lower","male",27,0,0,8.6625,"Southampton"
"823","No","Upper","male",38,0,0,8.6625,"Southampton"
"824","Si","Lower","female",27,0,1,12.475,"Southampton"
"825","No","Lower","male",2,4,1,39.6875,"Southampton"
"826","No","Lower","male",30,0,0,6.95,"Queenstown"
"827","No","Lower","male",32,0,0,56.4958,"Southampton"
"828","Si","Middle","male",1,0,2,37.0042,"Cherbourg"
"829","Si","Lower","male",22,0,0,7.75,"Queenstown"
"830","Si","Upper","female",62,0,0,80,"Southampton"
"831","Si","Lower","female",15,1,0,14.4542,"Cherbourg"
"832","Si","Middle","male",0.83,1,1,18.75,"Southampton"
"833","No","Lower","male",23.5,0,0,7.2292,"Cherbourg"
"834","No","Lower","male",23,0,0,7.8542,"Southampton"
"835","No","Lower","male",18,0,0,8.3,"Southampton"
"836","Si","Upper","female",39,1,1,83.1583,"Cherbourg"
"837","No","Lower","male",21,0,0,8.6625,"Southampton"
"838","No","Lower","male",24,0,0,8.05,"Southampton"
"839","Si","Lower","male",32,0,0,56.4958,"Southampton"
"840","Si","Upper","male",45,0,0,29.7,"Cherbourg"
"841","No","Lower","male",20,0,0,7.925,"Southampton"
"842","No","Middle","male",16,0,0,10.5,"Southampton"
"843","Si","Upper","female",30,0,0,31,"Cherbourg"
"844","No","Lower","male",34.5,0,0,6.4375,"Cherbourg"
"845","No","Lower","male",17,0,0,8.6625,"Southampton"
"846","No","Lower","male",42,0,0,7.55,"Southampton"
"847","No","Lower","male",11,8,2,69.55,"Southampton"
"848","No","Lower","male",35,0,0,7.8958,"Cherbourg"
"849","No","Middle","male",28,0,1,33,"Southampton"
"850","Si","Upper","female",37,1,0,89.1042,"Cherbourg"
"851","No","Lower","male",4,4,2,31.275,"Southampton"
"852","No","Lower","male",74,0,0,7.775,"Southampton"
"853","No","Lower","female",9,1,1,15.2458,"Cherbourg"
"854","Si","Upper","female",16,0,1,39.4,"Southampton"
"855","No","Middle","female",44,1,0,26,"Southampton"
"856","Si","Lower","female",18,0,1,9.35,"Southampton"
"857","Si","Upper","female",45,1,1,164.8667,"Southampton"
"858","Si","Upper","male",51,0,0,26.55,"Southampton"
"859","Si","Lower","female",24,0,3,19.2583,"Cherbourg"
"860","No","Lower","male",23.5,0,0,7.2292,"Cherbourg"
"861","No","Lower","male",41,2,0,14.1083,"Southampton"
"862","No","Middle","male",21,1,0,11.5,"Southampton"
"863","Si","Upper","female",48,0,0,25.9292,"Southampton"
"864","No","Lower","female",11,8,2,69.55,"Southampton"
"865","No","Middle","male",24,0,0,13,"Southampton"
"866","Si","Middle","female",42,0,0,13,"Southampton"
"867","Si","Middle","female",27,1,0,13.8583,"Cherbourg"
"868","No","Upper","male",31,0,0,50.4958,"Southampton"
"869","No","Lower","male",28,0,0,9.5,"Southampton"
"870","Si","Lower","male",4,1,1,11.1333,"Southampton"
"871","No","Lower","male",26,0,0,7.8958,"Southampton"
"872","Si","Upper","female",47,1,1,52.5542,"Southampton"
"873","No","Upper","male",33,0,0,5,"Southampton"
"874","No","Lower","male",47,0,0,9,"Southampton"
"875","Si","Middle","female",28,1,0,24,"Cherbourg"
"876","Si","Lower","female",15,0,0,7.225,"Cherbourg"
"877","No","Lower","male",20,0,0,9.8458,"Southampton"
"878","No","Lower","male",19,0,0,7.8958,"Southampton"
"879","No","Lower","male",33,0,0,7.8958,"Southampton"
"880","Si","Upper","female",56,0,1,83.1583,"Cherbourg"
"881","Si","Middle","female",25,0,1,26,"Southampton"
"882","No","Lower","male",33,0,0,7.8958,"Southampton"
"883","No","Lower","female",22,0,0,10.5167,"Southampton"
"884","No","Middle","male",28,0,0,10.5,"Southampton"
"885","No","Lower","male",25,0,0,7.05,"Southampton"
"886","No","Lower","female",39,0,5,29.125,"Queenstown"
"887","No","Middle","male",27,0,0,13,"Southampton"
"888","Si","Upper","female",19,0,0,30,"Southampton"
"889","No","Lower","female",26,1,2,23.45,"Southampton"
"890","Si","Upper","male",26,0,0,30,"Cherbourg"
"891","No","Lower","male",32,0,0,7.75,"Queenstown"
"892","No","Lower","male",34.5,0,0,7.8292,"Queenstown"
"893","Si","Lower","female",47,1,0,7,"Southampton"
"894","No","Middle","male",62,0,0,9.6875,"Queenstown"
"895","No","Lower","male",27,0,0,8.6625,"Southampton"
"896","Si","Lower","female",22,1,1,12.2875,"Southampton"
"897","No","Lower","male",14,0,0,9.225,"Southampton"
"898","Si","Lower","female",30,0,0,7.6292,"Queenstown"
"899","No","Middle","male",26,1,1,29,"Southampton"
"900","Si","Lower","female",18,0,0,7.2292,"Cherbourg"
"901","No","Lower","male",21,2,0,24.15,"Southampton"
"902","No","Lower","male",33,0,0,7.8958,"Southampton"
"903","No","Upper","male",46,0,0,26,"Southampton"
"904","Si","Upper","female",23,1,0,82.2667,"Southampton"
"905","No","Middle","male",63,1,0,26,"Southampton"
"906","Si","Upper","female",47,1,0,61.175,"Southampton"
"907","Si","Middle","female",24,1,0,27.7208,"Cherbourg"
"908","No","Middle","male",35,0,0,12.35,"Queenstown"
"909","No","Lower","male",21,0,0,7.225,"Cherbourg"
"910","Si","Lower","female",27,1,0,7.925,"Southampton"
"911","Si","Lower","female",45,0,0,7.225,"Cherbourg"
"912","No","Upper","male",55,1,0,59.4,"Cherbourg"
"913","No","Lower","male",9,0,1,3.1708,"Southampton"
"914","Si","Upper","female",36,0,0,31.6833,"Southampton"
"915","No","Upper","male",21,0,1,61.3792,"Cherbourg"
"916","Si","Upper","female",48,1,3,262.375,"Cherbourg"
"917","No","Lower","male",50,1,0,14.5,"Southampton"
"918","Si","Upper","female",22,0,1,61.9792,"Cherbourg"
"919","No","Lower","male",22.5,0,0,7.225,"Cherbourg"
"920","No","Upper","male",41,0,0,30.5,"Southampton"
"921","No","Lower","male",21,2,0,21.6792,"Cherbourg"
"922","No","Middle","male",50,1,0,26,"Southampton"
"923","No","Middle","male",24,2,0,31.5,"Southampton"
"924","Si","Lower","female",33,1,2,20.575,"Southampton"
"925","Si","Lower","female",5,1,2,23.45,"Southampton"
"926","No","Upper","male",30,1,0,57.75,"Cherbourg"
"927","No","Lower","male",18.5,0,0,7.2292,"Cherbourg"
"928","Si","Lower","female",19,0,0,8.05,"Southampton"
"929","Si","Lower","female",21,0,0,8.6625,"Southampton"
"930","No","Lower","male",25,0,0,9.5,"Southampton"
"931","No","Lower","male",32,0,0,56.4958,"Southampton"
"932","No","Lower","male",39,0,1,13.4167,"Cherbourg"
"933","No","Upper","male",62,0,0,26.55,"Southampton"
"934","No","Lower","male",41,0,0,7.85,"Southampton"
"935","Si","Middle","female",30,0,0,13,"Southampton"
"936","Si","Upper","female",45,1,0,52.5542,"Southampton"
"937","No","Lower","male",25,0,0,7.925,"Southampton"
"938","No","Upper","male",45,0,0,29.7,"Cherbourg"
"939","No","Lower","male",51,0,0,7.75,"Queenstown"
"940","Si","Upper","female",60,0,0,76.2917,"Cherbourg"
"941","Si","Lower","female",36,0,2,15.9,"Southampton"
"942","No","Upper","male",24,1,0,60,"Southampton"
"943","No","Middle","male",27,0,0,15.0333,"Cherbourg"
"944","Si","Middle","female",20,2,1,23,"Southampton"
"945","Si","Upper","female",28,3,2,263,"Southampton"
"946","No","Middle","male",28.5,0,0,15.5792,"Cherbourg"
"947","No","Lower","male",10,4,1,29.125,"Queenstown"
"948","No","Lower","male",35,0,0,7.8958,"Southampton"
"949","No","Lower","male",25,0,0,7.65,"Southampton"
"950","No","Lower","male",26,1,0,16.1,"Southampton"
"951","Si","Upper","female",36,0,0,262.375,"Cherbourg"
"952","No","Lower","male",17,0,0,7.8958,"Southampton"
"953","No","Middle","male",32,0,0,13.5,"Southampton"
"954","No","Lower","male",18,0,0,7.75,"Southampton"
"955","Si","Lower","female",22,0,0,7.725,"Queenstown"
"956","No","Upper","male",13,2,2,262.375,"Cherbourg"
"957","Si","Middle","female",31,0,0,21,"Southampton"
"958","Si","Lower","female",18,0,0,7.8792,"Queenstown"
"959","No","Upper","male",47,0,0,42.4,"Southampton"
"960","No","Upper","male",31,0,0,28.5375,"Cherbourg"
"961","Si","Upper","female",60,1,4,263,"Southampton"
"962","Si","Lower","female",24,0,0,7.75,"Queenstown"
"963","No","Lower","male",21,0,0,7.8958,"Southampton"
